"Symbol","Name","Sector","Industry","Summary Quote"
"PIH","1347 Property Insurance Holdings, Inc.","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/pih"
"TURN","180 Degree Capital Corp.","Finance","Finance/Investors Services","http://www.nasdaq.com/symbol/turn"
"FLWS","1-800 FLOWERS.COM, Inc.","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/flws"
"FCCY","1st Constitution Bancorp (NJ)","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fccy"
"SRCE","1st Source Corporation","Finance","Major Banks","http://www.nasdaq.com/symbol/srce"
"VNET","21Vianet Group, Inc.","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/vnet"
"TWOU","2U, Inc.","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/twou"
"JOBS","51job, Inc.","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/jobs"
"CAFD","8point3 Energy Partners LP","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/cafd"
"EGHT","8x8 Inc","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/eght"
"AVHI","A V Homes, Inc.","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/avhi"
"SHLM","A. Schulman, Inc.","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/shlm"
"AAON","AAON, Inc.","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aaon"
"ABAX","ABAXIS, Inc.","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/abax"
"ABEO","Abeona Therapeutics Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abeo"
"ABEOW","Abeona Therapeutics Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abeow"
"ABIL","Ability Inc.","Finance","Business Services","http://www.nasdaq.com/symbol/abil"
"ABMD","ABIOMED, Inc.","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/abmd"
"AXAS","Abraxas Petroleum Corporation","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/axas"
"ACIU","AC Immune SA","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aciu"
"ACIA","Acacia Communications, Inc.","Technology","Semiconductors","http://www.nasdaq.com/symbol/acia"
"ACTG","Acacia Research Corporation","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/actg"
"ACHC","Acadia Healthcare Company, Inc.","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/achc"
"ACAD","ACADIA Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acad"
"ACST","Acasti Pharma, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acst"
"AXDX","Accelerate Diagnostics, Inc.","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/axdx"
"ACCP","Accelerated Pharma, Inc.","n/a","n/a","http://www.nasdaq.com/symbol/accp"
"ACCPW","Accelerated Pharma, Inc.","n/a","n/a","http://www.nasdaq.com/symbol/accpw"
"XLRN","Acceleron Pharma Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/xlrn"
"ANCX","Access National Corporation","Finance","Savings Institutions","http://www.nasdaq.com/symbol/ancx"
"ARAY","Accuray Incorporated","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/aray"
"ACRX","AcelRx Pharmaceuticals, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acrx"
"ACET","Aceto Corporation","Health Care","Other Pharmaceuticals","http://www.nasdaq.com/symbol/acet"
"AKAO","Achaogen, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/akao"
"ACHN","Achillion Pharmaceuticals, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/achn"
"ACIW","ACI Worldwide, Inc.","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/aciw"
"ACRS","Aclaris Therapeutics, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acrs"
"ACNB","ACNB Corporation","Finance","Major Banks","http://www.nasdaq.com/symbol/acnb"
"ACOR","Acorda Therapeutics, Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/acor"
"SQZZ","Active Alts Contrarian ETF","n/a","n/a","http://www.nasdaq.com/symbol/sqzz"
"ATVI","Activision Blizzard, Inc","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/atvi"
"ACTA","Actua Corporation","Technology","EDP Services","http://www.nasdaq.com/symbol/acta"
"ACXM","Acxiom Corporation","Technology","EDP Services","http://www.nasdaq.com/symbol/acxm"
"ADMS","Adamas Pharmaceuticals, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adms"
"ADMP","Adamis Pharmaceuticals Corporation","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/admp"
"ADAP","Adaptimmune Therapeutics plc","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/adap"
"ADUS","Addus HomeCare Corporation","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/adus"
"AEY","ADDvantage Technologies Group, Inc.","Consumer Services","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/aey"
"IOTS","Adesto Technologies Corporation","Technology","Semiconductors","http://www.nasdaq.com/symbol/iots"
"ADMA","ADMA Biologics Inc","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/adma"
"ADBE","Adobe Systems Incorporated","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/adbe"
"ADOM","ADOMANI, Inc.","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/adom"
"ADTN","ADTRAN, Inc.","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/adtn"
"ADRO","Aduro Biotech, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adro"
"AAAP","Advanced Accelerator Applications S.A.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aaap"
"ADES","Advanced Emissions Solutions, Inc.","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/ades"
"AEIS","Advanced Energy Industries, Inc.","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aeis"
"AMD","Advanced Micro Devices, Inc.","Technology","Semiconductors","http://www.nasdaq.com/symbol/amd"
"ADXS","Advaxis, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adxs"
"ADXSW","Advaxis, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adxsw"
"ADVM","Adverum Biotechnologies, Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/advm"
"AEGN","Aegion Corp","Basic Industries","Water Supply","http://www.nasdaq.com/symbol/aegn"
"AGLE","Aeglea BioTherapeutics, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/agle"
"AEHR","Aehr Test Systems","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/aehr"
"AMTX","Aemetis, Inc","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/amtx"
"AERI","Aerie Pharmaceuticals, Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/aeri"
"AVAV","AeroVironment, Inc.","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/avav"
"AEZS","AEterna Zentaris Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aezs"
"AEMD","Aethlon Medical, Inc.","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/aemd"
"GNMX","Aevi Genomic Medicine, Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/gnmx"
"AFMD","Affimed N.V.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/afmd"
"AGEN","Agenus Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/agen"
"AGRX","Agile Therapeutics, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/agrx"
"AGYS","Agilysys, Inc.","Technology","EDP Services","http://www.nasdaq.com/symbol/agys"
"AGIO","Agios Pharmaceuticals, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/agio"
"AGNC","AGNC Investment Corp.","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/agnc"
"AGNCB","AGNC Investment Corp.","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/agncb"
"AGNCP","AGNC Investment Corp.","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/agncp"
"AGFS","AgroFresh Solutions, Inc.","Finance","Business Services","http://www.nasdaq.com/symbol/agfs"
"AGFSW","AgroFresh Solutions, Inc.","Finance","Business Services","http://www.nasdaq.com/symbol/agfsw"
"ALRN","Aileron Therapeutics, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alrn"
"AIMT","Aimmune Therapeutics, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aimt"
"AIRT","Air T, Inc.","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/airt"
"ATSG","Air Transport Services Group, Inc","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/atsg"
"AIRG","Airgain, Inc.","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/airg"
"AMCN","AirMedia Group Inc","Technology","Advertising","http://www.nasdaq.com/symbol/amcn"
"AKAM","Akamai Technologies, Inc.","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/akam"
"AKTX","Akari Therapeutics Plc","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aktx"
"AKCA","Akcea Therapeutics, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/akca"
"AKBA","Akebia Therapeutics, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/akba"
"AKER","Akers Biosciences Inc","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/aker"
"AKRX","Akorn, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/akrx"
"AKTS","Akoustis Technologies, Inc.","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/akts"
"ALRM","Alarm.com Holdings, Inc.","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/alrm"
"ALSK","Alaska Communications Systems Group, Inc.","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/alsk"
"AMRI","Albany Molecular Research, Inc.","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/amri"
"ALBO","Albireo Pharma, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/albo"
"ABDC","Alcentra Capital Corp.","n/a","n/a","http://www.nasdaq.com/symbol/abdc"
"ADHD","Alcobra Ltd.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adhd"
"ALDR","Alder BioPharmaceuticals, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aldr"
"ALDX","Aldeyra Therapeutics, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aldx"
"ALXN","Alexion Pharmaceuticals, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alxn"
"ALCO","Alico, Inc.","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/alco"
"ALGN","Align Technology, Inc.","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/algn"
"ALIM","Alimera Sciences, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alim"
"ALJJ","ALJ Regional Holdings, Inc.","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/aljj"
"ALKS","Alkermes plc","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alks"
"ABTX","Allegiance Bancshares, Inc.","Finance","Major Banks","http://www.nasdaq.com/symbol/abtx"
"ALGT","Allegiant Travel Company","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/algt"
"AIQ","Alliance HealthCare Services, Inc.","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/aiq"
"AHGP","Alliance Holdings GP, L.P.","Energy","Coal Mining","http://www.nasdaq.com/symbol/ahgp"
"AMMA","Alliance MMA, Inc.","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/amma"
"ARLP","Alliance Resource Partners, L.P.","Energy","Coal Mining","http://www.nasdaq.com/symbol/arlp"
"AHPI","Allied Healthcare Products, Inc.","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/ahpi"
"AMOT","Allied Motion Technologies, Inc.","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/amot"
"ALQA","Alliqua BioMedical, Inc.","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/alqa"
"ALLT","Allot Communications Ltd.","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/allt"
"MDRX","Allscripts Healthcare Solutions, Inc.","Technology","EDP Services","http://www.nasdaq.com/symbol/mdrx"
"AFAM","Almost Family Inc","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/afam"
"ALNY","Alnylam Pharmaceuticals, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alny"
"AOSL","Alpha and Omega Semiconductor Limited","Technology","Semiconductors","http://www.nasdaq.com/symbol/aosl"
"GOOG","Alphabet Inc.","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/goog"
"GOOGL","Alphabet Inc.","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/googl"
"SMCP","AlphaMark Actively Managed Small Cap ETF","n/a","n/a","http://www.nasdaq.com/symbol/smcp"
"ATEC","Alphatec Holdings, Inc.","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/atec"
"SWIN","ALPS/Dorsey Wright Sector Momentum ETF","n/a","n/a","http://www.nasdaq.com/symbol/swin"
"AABA","Altaba Inc.","Technology","EDP Services","http://www.nasdaq.com/symbol/aaba"
"ALT","Altimmune, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alt"
"ASPS","Altisource Portfolio Solutions S.A.","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/asps"
"AIMC","Altra Industrial Motion Corp.","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aimc"
"AMAG","AMAG Pharmaceuticals, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/amag"
"AMRN","Amarin Corporation plc","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/amrn"
"AMRK","A-Mark Precious Metals, Inc.","Basic Industries","Other Specialty Stores","http://www.nasdaq.com/symbol/amrk"
"AYA","Amaya Inc.","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/aya"
"AMZN","Amazon.com, Inc.","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/amzn"
"AMBC","Ambac Financial Group, Inc.","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ambc"
"AMBCW","Ambac Financial Group, Inc.","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ambcw"
"AMBA","Ambarella, Inc.","Technology","Semiconductors","http://www.nasdaq.com/symbol/amba"
"AMCX","AMC Networks Inc.","Consumer Services","Television Services","http://www.nasdaq.com/symbol/amcx"
"DOX","Amdocs Limited","Technology","EDP Services","http://www.nasdaq.com/symbol/dox"
"AMDA","Amedica Corporation","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/amda"
"AMED","Amedisys Inc","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/amed"
"UHAL","Amerco","Consumer Services","Rental/Leasing Companies","http://www.nasdaq.com/symbol/uhal"
"ATAX","America First Multifamily Investors, L.P.","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/atax"
"AMOV","America Movil, S.A.B. de C.V.","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/amov"
"AAL","American Airlines Group, Inc.","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/aal"
"ACSF","American Capital Senior Floating, Ltd.","n/a","n/a","http://www.nasdaq.com/symbol/acsf"
"AETI","American Electric Technologies, Inc.","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aeti"
"AMNB","American National Bankshares, Inc.","Finance","Major Banks","http://www.nasdaq.com/symbol/amnb"
"ANAT","American National Insurance Company","Finance","Life Insurance","http://www.nasdaq.com/symbol/anat"
"AOBC","American Outdoor Brands Corporation","Capital Goods","Ordnance And Accessories","http://www.nasdaq.com/symbol/aobc"
"APEI","American Public Education, Inc.","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/apei"
"ARII","American Railcar Industries, Inc.","Capital Goods","Railroads","http://www.nasdaq.com/symbol/arii"
"AMRB","American River Bankshares","Finance","Major Banks","http://www.nasdaq.com/symbol/amrb"
"AMSWA","American Software, Inc.","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/amswa"
"AMSC","American Superconductor Corporation","Consumer Durables","Metal Fabrications","http://www.nasdaq.com/symbol/amsc"
"AMWD","American Woodmark Corporation","Basic Industries","Forest Products","http://www.nasdaq.com/symbol/amwd"
"CRMT","America&#39","","",""
"ABCB","Ameris Bancorp","Finance","Major Banks","http://www.nasdaq.com/symbol/abcb"
"AMSF","AMERISAFE, Inc.","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/amsf"
"ASRV","AmeriServ Financial Inc.","Finance","Major Banks","http://www.nasdaq.com/symbol/asrv"
"ASRVP","AmeriServ Financial Inc.","Finance","Major Banks","http://www.nasdaq.com/symbol/asrvp"
"ATLO","Ames National Corporation","Finance","Major Banks","http://www.nasdaq.com/symbol/atlo"
"AMGN","Amgen Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/amgn"
"FOLD","Amicus Therapeutics, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/fold"
"AMKR","Amkor Technology, Inc.","Technology","Semiconductors","http://www.nasdaq.com/symbol/amkr"
"AMPH","Amphastar Pharmaceuticals, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/amph"
"IBUY","Amplify Online Retail ETF","n/a","n/a","http://www.nasdaq.com/symbol/ibuy"
"ASYS","Amtech Systems, Inc.","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/asys"
"AFSI","AmTrust Financial Services, Inc.","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afsi"
"AMRS","Amyris, Inc.","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/amrs"
"ADI","Analog Devices, Inc.","Technology","Semiconductors","http://www.nasdaq.com/symbol/adi"
"ALOG","Analogic Corporation","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/alog"
"ANAB","AnaptysBio, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/anab"
"AVXL","Anavex Life Sciences Corp.","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/avxl"
"ANCB","Anchor Bancorp","Finance","Banks","http://www.nasdaq.com/symbol/ancb"
"ANDA","Andina Acquisition Corp. II","Finance","Business Services","http://www.nasdaq.com/symbol/anda"
"ANDAR","Andina Acquisition Corp. II","Finance","Business Services","http://www.nasdaq.com/symbol/andar"
"ANDAU","Andina Acquisition Corp. II","Finance","Business Services","http://www.nasdaq.com/symbol/andau"
"ANDAW","Andina Acquisition Corp. II","Finance","Business Services","http://www.nasdaq.com/symbol/andaw"
"ANGI","Angie&#39","","",""
"ANGO","AngioDynamics, Inc.","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/ango"
"ANIP","ANI Pharmaceuticals, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/anip"
"ANIK","Anika Therapeutics Inc.","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/anik"
"ANSS","ANSYS, Inc.","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/anss"
"ATRS","Antares Pharma, Inc.","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/atrs"
"ANTH","Anthera Pharmaceuticals, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/anth"
"ABAC","Aoxin Tianli Group, Inc.","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/abac"
"APOG","Apogee Enterprises, Inc.","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/apog"
"APEN","Apollo Endosurgery, Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/apen"
"AINV","Apollo Investment Corporation","n/a","n/a","http://www.nasdaq.com/symbol/ainv"
"APPF","AppFolio, Inc.","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/appf"
"APPN","Appian Corporation","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/appn"
"AAPL","Apple Inc.","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/aapl"
"ARCI","Appliance Recycling Centers of America, Inc.","Consumer Services","Home Furnishings","http://www.nasdaq.com/symbol/arci"
"APDN","Applied DNA Sciences Inc","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/apdn"
"APDNW","Applied DNA Sciences Inc","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/apdnw"
"AGTC","Applied Genetic Technologies Corporation","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/agtc"
"AMAT","Applied Materials, Inc.","Technology","Semiconductors","http://www.nasdaq.com/symbol/amat"
"AAOI","Applied Optoelectronics, Inc.","Technology","Semiconductors","http://www.nasdaq.com/symbol/aaoi"
"AREX","Approach Resources Inc.","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/arex"
"APTI","Apptio, Inc.","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/apti"
"APRI","Apricus Biosciences, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/apri"
"APVO","Aptevo Therapeutics Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/apvo"
"APTO","Aptose Biosciences, Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/apto"
"AQMS","Aqua Metals, Inc.","Basic Industries","Metal Fabrications","http://www.nasdaq.com/symbol/aqms"
"AQB","AquaBounty Technologies, Inc.","n/a","n/a","http://www.nasdaq.com/symbol/aqb"
"AQXP","Aquinox Pharmaceuticals, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aqxp"
"ARDM","Aradigm Corporation","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/ardm"
"ARLZ","Aralez Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/arlz"
"PETX","Aratana Therapeutics, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/petx"
"ABUS","Arbutus Biopharma Corporation","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abus"
"ARCW","ARC Group Worldwide, Inc.","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/arcw"
"ABIO","ARCA biopharma, Inc.","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/abio"
"RKDA","Arcadia Biosciences, Inc.","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/rkda"
"ARCB","ArcBest Corporation","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/arcb"
"ACGL","Arch Capital Group Ltd.","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/acgl"
"ACGLP","Arch Capital Group Ltd.","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/acglp"
"APLP","Archrock Partners, L.P.","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/aplp"
"ARDX","Ardelyx, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ardx"
"ARNA","Arena Pharmaceuticals, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/arna"
"ARCC","Ares Capital Corporation","n/a","n/a","http://www.nasdaq.com/symbol/arcc"
"ARGX","argenx SE","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/argx"
"AGII","Argo Group International Holdings, Ltd.","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/agii"
"AGIIL","Argo Group International Holdings, Ltd.","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/agiil"
"ARGS","Argos Therapeutics, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/args"
"ARIS","ARI Network Services, Inc.","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/aris"
"ARKR","Ark Restaurants Corp.","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/arkr"
"ARTX","Arotech Corporation","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/artx"
"ARQL","ArQule, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/arql"
"ARRY","Array BioPharma Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/arry"
"ARRS","ARRIS International plc","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/arrs"
"DWAT","Arrow DWA Tactical ETF","n/a","n/a","http://www.nasdaq.com/symbol/dwat"
"AROW","Arrow Financial Corporation","Finance","Major Banks","http://www.nasdaq.com/symbol/arow"
"ARWR","Arrowhead Pharmaceuticals, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/arwr"
"ARTNA","Artesian Resources Corporation","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/artna"
"ARTW","Art&#39","","",""
"ASBB","ASB Bancorp, Inc.","Finance","Savings Institutions","http://www.nasdaq.com/symbol/asbb"
"ASNA","Ascena Retail Group, Inc.","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/asna"
"ASND","Ascendis Pharma A/S","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/asnd"
"ASCMA","Ascent Capital Group, Inc.","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/ascma"
"APWC","Asia Pacific Wire & Cable Corporation Limited","Basic Industries","Telecommunications Equipment","http://www.nasdaq.com/symbol/apwc"
"ASML","ASML Holding N.V.","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/asml"
"AZPN","Aspen Technology, Inc.","Technology","EDP Services","http://www.nasdaq.com/symbol/azpn"
"ASMB","Assembly Biosciences, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/asmb"
"ASFI","Asta Funding, Inc.","Finance","Finance Companies","http://www.nasdaq.com/symbol/asfi"
"ASTE","Astec Industries, Inc.","Capital Goods","Construction/Ag Equipment/Trucks","http://www.nasdaq.com/symbol/aste"
"ATRO","Astronics Corporation","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/atro"
"ALOT","AstroNova, Inc.","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/alot"
